1,2024-05-23,5.4,12
1,2024-05-07,3.7,12
1,2024-05-01,3.5,12
1,2024-05-10,6.0,12
1,2024-05-16,5.0,12
1,2024-05-17,6.5,12
1,2024-05-08,3.7,12
1,2024-05-27,5.4,12
1,2024-05-06,3.4,12
1,2024-05-26,4.5,12
1,2024-05-13,3.0,12
1,2024-05-11,3.0,12
1,2024-05-05,4.5,12
1,2024-05-22,5.0,12
1,2024-05-12,4.5,12
1,2024-05-19,3.5,12
1,2024-05-02,4.6,12
1,2024-05-15,3.5,12
1,2024-05-05,7.4,12
1,2024-05-24,5.4,12
1,2024-05-20,4.6,12
1,2024-05-03,1.6,12
1,2024-05-21,4.0,12
1,2024-05-04,5.0,12
1,2024-05-09,3.7,12
1,2024-05-14,3.5,12
1,2024-05-25,3.0,12
1,2024-05-28,4.5,12
1,2024-05-29,5.5,12
1,2024-05-18,3.5,12
1,2024-05-07,4.5,12
